player,team,minutes,shots_total,shots_on_target,goals,xg,shot_x,shot_y
Kai Smith Rowe,Liverpool,1625,95,30,10,10.45,84.2,49.3
Dominic Jones,Liverpool,2835,31,17,3,2.53,89.5,47.1
Emile Havertz,Liverpool,1458,39,25,2,1.85,88.2,34.8
Darwin Bowen,Chelsea,562,15,8,1,1.03,82.3,18.6
Mohamed Grealish,Chelsea,1531,45,11,2,1.81,78.3,49.5
Bruno Son,Chelsea,1700,61,33,8,9.22,102.7,29.3
Raheem Bailey,Chelsea,2465,101,32,3,2.71,81.9,34.4
Cole Kane,Chelsea,2855,53,15,4,3.76,99.9,50.3
Wilfried Barnes,Chelsea,1570,105,27,6,5.51,71.7,42.5
Kevin Maupay,Chelsea,1196,9,3,1,1.0,96.3,19.8
Erling Wilson,Chelsea,2500,90,42,14,17.05,102.5,28.9
Aleksandar Gordon,Chelsea,793,42,16,1,1.28,93.4,50.5
Mason Palmer,Chelsea,847,21,10,1,0.95,91.7,37.8
Neal Varane,Chelsea,2404,93,34,6,5.04,85.5,24.9
Gabriel Nunez,Chelsea,389,11,4,0,0.0,78.4,42.0
Leandro Robertson,Chelsea,2699,65,27,10,8.95,70.2,17.3
Marcus Saka,Chelsea,1276,48,29,10,11.79,71.9,15.3
Roberto Almiron,Chelsea,639,24,8,2,2.46,82.5,43.8
James Nketiah,Arsenal,266,4,2,0,0.0,100.2,46.3
Eddie Jackson,Arsenal,1672,32,14,2,2.09,80.5,37.7
Jarrod Salah,Arsenal,1505,67,26,2,1.82,70.5,37.1
Gabriel Calvert-Lewin,Arsenal,840,51,24,7,8.74,84.0,27.4
Pedro Pulisic,Arsenal,1188,25,7,0,0.0,73.2,37.2
Ollie Rice,Arsenal,764,14,7,2,2.22,100.2,23.5
Joao Watkins,Arsenal,1805,63,21,4,4.79,71.1,44.7
Mateo Trossard,Arsenal,1899,70,18,2,2.29,86.0,23.6
Harry Sterling,Arsenal,2338,26,15,4,3.35,101.4,45.2
Jack Mitrovic,Arsenal,2929,79,30,4,3.37,86.3,33.3
Declan Maddison,Arsenal,342,5,2,0,0.0,80.6,50.4
Sergio Diaz,Arsenal,185,1,0,0,0.0,102.8,26.8
Anthony Mount,Arsenal,569,17,8,2,1.67,84.6,19.4
Miguel Neto,Arsenal,198,2,0,0,0.0,78.1,40.9
Nicolas Odegaard,Arsenal,2349,70,27,4,3.41,82.4,30.7
Leon Fernandes,Tottenham,1331,40,11,2,1.78,75.5,46.4
Christian Firmino,Tottenham,1393,24,12,1,0.96,103.9,25.0
Matheus Martinelli,Tottenham,1760,29,7,1,0.99,81.1,25.9
Heung-Min Johnson,Tottenham,1661,34,13,3,3.74,93.0,15.3
Andrew Zaha,Tottenham,2155,48,20,4,5.03,78.8,47.1
Luis Toney,Tottenham,1627,10,3,1,1.08,99.0,42.1
Martin De Bruyne,Tottenham,1591,46,15,2,2.46,98.7,31.7
Ivan Jesus,Tottenham,1396,68,43,4,4.41,93.1,41.1
Raphael Foden,Tottenham,2340,40,13,1,1.24,84.7,33.9
Eberechi Aguero,Tottenham,1930,20,8,2,2.5,72.9,29.9
Phil Haaland,Tottenham,554,10,2,0,0.0,72.7,23.9
Curtis Kovacic,Tottenham,1800,33,20,4,3.3,71.4,36.8
Harvey Cunha,Tottenham,1733,29,15,5,5.95,81.0,24.4
Jadon Rashford,Tottenham,2525,133,47,14,13.1,101.6,29.2
Callum Eze,Tottenham,754,16,9,1,0.91,98.6,50.4
Bukayo Sancho,Man United,899,14,3,0,0.0,79.8,27.6
Brennan Felix,Man United,1274,29,11,2,2.13,75.6,36.7
Kai Smith Rowe,Man United,243,3,1,0,0.0,82.1,30.5
Dominic Jones,Man United,403,7,2,0,0.0,92.5,24.9
Emile Havertz,Man United,2761,71,26,3,2.57,92.7,48.3
Darwin Bowen,Man United,2668,68,18,5,5.34,72.9,16.3
Mohamed Grealish,Man United,2005,21,8,2,1.72,75.9,28.4
Bruno Son,Man United,342,14,6,1,1.01,85.0,27.6
Raheem Bailey,Man United,2067,56,18,6,6.87,98.8,36.1
Cole Kane,Man United,2231,72,31,7,6.28,92.8,44.7
Wilfried Barnes,Man United,2938,233,138,18,15.53,104.3,40.6
Kevin Maupay,Man United,2720,95,48,14,12.96,92.8,23.1
Erling Wilson,Man United,364,8,2,0,0.0,86.7,50.3
Aleksandar Gordon,Man United,1627,74,32,10,11.36,95.3,33.7
Mason Palmer,Man United,1589,49,31,3,3.74,90.2,36.4
Neal Varane,West Ham,459,16,4,1,1.23,75.3,47.4
Gabriel Nunez,West Ham,1888,8,3,0,0.0,97.7,40.7
Leandro Robertson,West Ham,343,16,8,0,0.0,81.4,19.9
Marcus Saka,West Ham,2194,135,70,25,30.47,74.5,19.8
Roberto Almiron,West Ham,1759,39,14,5,5.61,80.1,26.4
James Nketiah,West Ham,222,8,4,0,0.0,70.5,35.5
Eddie Jackson,West Ham,1115,28,11,3,3.88,77.9,29.8
Jarrod Salah,West Ham,820,32,9,1,1.29,85.5,35.2
Gabriel Calvert-Lewin,West Ham,1933,9,3,0,0.0,90.7,41.4
Pedro Pulisic,West Ham,2358,43,22,2,2.17,79.0,45.6
Ollie Rice,West Ham,422,25,8,0,0.0,85.5,38.5
Joao Watkins,West Ham,1246,29,8,3,2.56,86.7,37.3
Mateo Trossard,West Ham,1103,38,24,5,4.17,71.7,26.2
Harry Sterling,West Ham,2837,129,67,11,10.49,91.5,49.1
Jack Mitrovic,West Ham,1435,15,4,1,1.3,94.5,44.3
Declan Maddison,Leicester,2879,74,45,4,3.83,72.0,44.1
Sergio Diaz,Leicester,297,10,3,0,0.0,97.7,27.1
Anthony Mount,Leicester,926,24,9,1,0.97,87.7,21.2
Miguel Neto,Leicester,977,11,6,2,2.05,104.5,15.0
Nicolas Odegaard,Leicester,686,16,6,1,0.83,98.5,50.7
Leon Fernandes,Leicester,2052,163,66,13,11.22,83.7,21.2
Christian Firmino,Leicester,1092,18,9,1,0.82,82.7,18.7
Matheus Martinelli,Leicester,1099,29,13,4,3.99,80.4,20.5
Heung-Min Johnson,Leicester,738,37,14,3,3.19,81.2,32.9
Andrew Zaha,Leicester,2769,63,36,12,11.26,102.9,19.7
Luis Toney,Leicester,621,8,3,0,0.0,98.1,32.8
Martin De Bruyne,Leicester,2834,91,54,5,4.57,89.8,28.4
Ivan Jesus,Leicester,949,45,18,2,2.2,101.6,29.6
Raphael Foden,Leicester,1624,32,11,2,1.67,77.6,50.5
Eberechi Aguero,Leicester,1629,14,6,1,1.28,88.9,38.0
Phil Haaland,Brighton,399,9,5,1,1.19,79.9,46.8
Curtis Kovacic,Brighton,1069,20,8,1,0.89,77.1,29.7
Harvey Cunha,Brighton,1599,44,17,5,4.36,87.7,17.4
Jadon Rashford,Brighton,736,2,0,0,0.0,79.0,19.3
Callum Eze,Brighton,2554,67,17,6,7.33,80.4,17.9
Bukayo Sancho,Brighton,2239,20,11,3,3.42,75.8,17.2
Brennan Felix,Brighton,313,8,3,0,0.0,70.1,40.5
Kai Smith Rowe,Brighton,2406,61,33,7,7.89,90.3,15.8
Dominic Jones,Brighton,1452,77,31,5,4.24,76.3,45.3
Emile Havertz,Brighton,1269,44,12,2,2.38,85.3,38.9
Darwin Bowen,Brighton,1350,32,13,2,2.58,76.3,45.4
Mohamed Grealish,Brighton,2053,50,17,5,4.93,88.3,17.6
Bruno Son,Brighton,1380,22,10,2,1.66,92.1,44.2
Raheem Bailey,Brighton,864,59,18,6,7.44,101.7,52.7
Cole Kane,Brighton,2292,20,10,2,2.54,82.2,24.3
Wilfried Barnes,Newcastle,2120,25,11,2,1.81,96.0,16.0
Kevin Maupay,Newcastle,861,13,4,1,1.01,76.9,34.5
Erling Wilson,Newcastle,1792,41,15,5,4.15,94.3,21.9
Aleksandar Gordon,Newcastle,237,5,2,0,0.0,103.0,21.6
Mason Palmer,Newcastle,1558,32,8,2,1.96,74.4,24.6
Neal Varane,Newcastle,2228,60,29,9,9.13,96.2,49.7
Gabriel Nunez,Newcastle,1844,79,24,3,3.59,83.5,31.6
Leandro Robertson,Newcastle,224,1,0,0,0.0,88.1,23.1
Marcus Saka,Newcastle,1135,70,27,7,6.96,100.2,26.7
Roberto Almiron,Newcastle,2381,179,93,35,45.45,95.2,25.9
James Nketiah,Newcastle,1211,9,3,0,0.0,70.0,49.3
Eddie Jackson,Newcastle,1367,92,50,16,15.3,84.4,23.0
Jarrod Salah,Newcastle,2011,47,13,2,1.97,101.0,20.8
Gabriel Calvert-Lewin,Newcastle,978,21,10,3,3.26,77.2,34.2
Pedro Pulisic,Newcastle,2925,88,29,5,5.59,83.9,15.3
